goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,GK,Benevento,Udinese,3,3,2018-04-29,7846,2017,236462,0,0,0,0,0,0.3128156065940857,0.3128156065940857
0,0,0,90,GK,Benevento,Verona,3,0,2018-04-04,7763,2017,228222,0,0,0,0,0,0.3212280869483948,0.3212280869483948
0,0,0,81,Sub,Lazio,Benevento,6,2,2018-03-31,7789,2017,227972,0,0,0,0,0,0.12147784233093262,0.12147784233093262
0,0,0,55,Sub,Torino,Benevento,3,0,2018-01-28,7710,2017,210993,0,0,0,0,0,0.0681137666106224,0.0681137666106224
0,0,0,90,GK,Udinese,Benevento,2,0,2017-12-10,7658,2017,200050,0,0,0,0,0,0.03447779268026352,0.03447779268026352
1,1,0.1145242303609848,90,GK,Benevento,AC Milan,2,2,2017-12-03,7639,2017,195567,0,0,0,1,0.1145242303609848,0.36970800161361694,0.36970800161361694
0,0,0,90,GK,Atalanta,Benevento,1,0,2017-11-27,7629,2017,195302,0,0,0,0,0,0.018239691853523254,0.018239691853523254
0,0,0,90,GK,Benevento,Sassuolo,1,2,2017-11-19,7619,2017,195010,0,0,0,0,0,0,0
0,0,0,90,GK,Juventus,Benevento,2,1,2017-11-05,7616,2017,194968,0,0,0,0,0,0,0
0,0,0,90,GK,Benevento,Lazio,1,5,2017-10-29,7599,2017,194480,0,0,0,0,0,0.00810759887099266,0.00810759887099266
0,0,0,90,GK,Cagliari,Benevento,2,1,2017-10-25,7591,2017,194270,0,0,0,0,0,0.08716951310634613,0.08716951310634613
0,0,0,90,GK,Benevento,Fiorentina,0,3,2017-10-22,7580,2017,193949,0,0,0,0,0,0,0
0,0,0,90,GK,Verona,Benevento,1,0,2017-10-16,7573,2017,193768,0,0,0,0,0,0,0
